Location,Rank,Word,TF-IDF_Score
宁夏银川保南村,1,直播,0.3606
宁夏银川保南村,2,数字,0.2689
宁夏银川保南村,3,直播间,0.2293
宁夏银川保南村,4,咱们,0.2251
宁夏银川保南村,5,ai,0.1855
宁夏银川保南村,6,这些,0.1543
宁夏银川保南村,7,还有,0.1501
宁夏银川保南村,8,产业,0.1465
宁夏银川保南村,9,一下,0.1417
宁夏银川保南村,10,之后,0.1334
宁夏银川保南村,11,这块,0.1084
宁夏银川保南村,12,了解,0.1084
宁夏银川保南村,13,比如说,0.1084
宁夏银川保南村,14,今年,0.1055
宁夏银川保南村,15,但是,0.1021
河北行唐龙洞村,1,数字,0.4918
河北行唐龙洞村,2,快手,0.2804
河北行唐龙洞村,3,直播,0.2113
河北行唐龙洞村,4,平台,0.2032
河北行唐龙洞村,5,残疾人,0.1666
河北行唐龙洞村,6,直播间,0.1626
河北行唐龙洞村,7,问题,0.1626
河北行唐龙洞村,8,目前,0.1463
河北行唐龙洞村,9,账号,0.1301
河北行唐龙洞村,10,但是,0.126
河北行唐龙洞村,11,不是,0.1097
河北行唐龙洞村,12,不会,0.1057
河北行唐龙洞村,13,农产品,0.1016
河北行唐龙洞村,14,合作,0.1016
河北行唐龙洞村,15,这些,0.1016
